videoId;channelId;publishedAt;title;channelTitle
V4gGJ7XXlC0;UCsBjURrPoezykLs9EqgamOA;2023-05-04T19:57:07Z;Mojo Lang... a fast futuristic Python alternative;Fireship
DXmCU7v9glM;UCafFexaRoRylOKdzGBU6Pgg;2021-06-26T20:00:02Z;O que e o Python? Por que e a Melhor Linguagem de Programacao para Comecar?;Hashtag Programação
4p7axLXXBGU;UCafFexaRoRylOKdzGBU6Pgg;2022-11-03T20:00:02Z;Aprenda Python em 10min (para Iniciantes);Hashtag Programação
uOgDa1rlqjE;UCFuIUoyHB12qpYa8Jpxoxow;2019-07-29T13:45:01Z;Python // Dicionario do Programador;Código Fonte TV
fLs-zF9BFxg;UCm63tB8wsKOVvxoU4iMpS2A;2022-12-23T14:00:22Z;VALE A PENA ESTUDAR PYTHON EM 2023? [6 MOTIVOS];Dev Aprender
GQpQha2Mfpg;UCafFexaRoRylOKdzGBU6Pgg;2021-02-01T20:00:09Z;Como Sair do ZERO no Python em APENAS UMA AULA;Hashtag Programação
vw_3iMuOvGg;UCm63tB8wsKOVvxoU4iMpS2A;2021-09-20T13:00:27Z;9 Coisas que Automatizei com Python;Dev Aprender
Q8eajxcS6dQ;UC0BiVs5EYh57gzGVvhddjsA;2019-06-20T14:51:40Z;Aprenda Python em 10 minutos! (Para iniciantes);Didática Tech
Dp-biEtYiO4;UCm63tB8wsKOVvxoU4iMpS2A;2022-08-24T14:00:07Z;O que Estudar p/ Trabalhar com Python [GUIA Completo];Dev Aprender
7Kpd6eprz4k;UCm63tB8wsKOVvxoU4iMpS2A;2023-01-13T14:02:01Z;Como Configurar VSCode Para Python em 2023[RAPIDO];Dev Aprender
S9uPNppGsGo;UCrWvhVmt0Qac3HgsjQK62FQ;2017-04-03T14:00:03Z;Curso Python #01 - Seja um Programador;Curso em Vídeo
Mp0vhMDI7fA;UCrWvhVmt0Qac3HgsjQK62FQ;2017-04-03T14:00:02Z;Curso Python #02 - Para que serve o Python?;Curso em Vídeo
rfscVS0vtbw;UC8butISFwT-Wl7EV0hUK0BQ;2018-07-11T18:00:42Z;Learn Python - Full Course for Beginners [Tutorial];freeCodeCamp.org
YgrjjIT74qU;UCERK-uaylaDOhEDn5eBGENA;2022-05-25T15:21:12Z;Eu criei um MALWARE com Python (e MUITO Facil);Acker Code
Z0rLHYPqNNY;UCERK-uaylaDOhEDn5eBGENA;2023-02-13T14:57:23Z;Python vs C!! Qual linguagem e mais rapida? #python #programming;Acker Code
VuKvR1J2LQE;UCrWvhVmt0Qac3HgsjQK62FQ;2017-04-03T14:00:02Z;Curso Python #03 - Instalando o Python3 e o IDLE;Curso em Vídeo
xOldKdP_ZII;UC0BiVs5EYh57gzGVvhddjsA;2022-07-13T21:27:30Z;O Mapa do Python! (O que estudar para cada aplicacao);Didática Tech
tY70BhTM29M;UCafFexaRoRylOKdzGBU6Pgg;2023-05-02T20:00:12Z;Python ou Javascript - Qual Devo Aprender?;Hashtag Programação
UnfmxnFpfdM;UCm63tB8wsKOVvxoU4iMpS2A;2020-09-16T11:00:07Z;Como Criar Uma Tela Em Python c/ PySimpleGUI [Facil];Dev Aprender
31llNGKWDdo;UCrWvhVmt0Qac3HgsjQK62FQ;2017-04-03T14:00:00Z;Curso Python #04 - Primeiros comandos em Python3;Curso em Vídeo
kCMaqla6Grs;UCafFexaRoRylOKdzGBU6Pgg;2021-07-10T20:00:14Z;Introducao a Analise de Dados com Python - [Primeiros Passos];Hashtag Programação
kqtD5dpn9C8;UCWv7vMbMWH4-V0ZXdmDpPBA;2020-09-16T13:00:20Z;Python for Beginners - Learn Python in 1 Hour;Programming with Mosh
CBcPbyC9lFQ;UCafFexaRoRylOKdzGBU6Pgg;2023-05-03T01:00:09Z;Pegando as senhas da WiFi com Python | #shorts;Hashtag Programação
_uQrJ0TkZlc;UCWv7vMbMWH4-V0ZXdmDpPBA;2019-02-18T15:00:08Z;Python Tutorial - Python Full Course for Beginners;Programming with Mosh
s4ZUkwe0ZTI;UCXgGY0wkgOzynnHvSEVmE3A;2023-05-04T11:18:30Z;Say Goodbye to Python and Hello to Mojo;Hitesh Choudhary
gomDSZaay3E;UCafFexaRoRylOKdzGBU6Pgg;2021-11-27T20:00:08Z;Como Sair do Zero em Classes no Python - Self e Init Explicados;Hashtag Programação
va2Rg2xZwug;UCEbLV4AfUhoxNb_-Ionw83g;2021-10-13T18:13:14Z;Perguntinha CLASSICA em entrevistas para vagas de #python | tags: #programacao #programador;HB Network
XKHEtdqhLK8;UC4SVo0Ue36XCfOyb5Lh1viQ;2021-02-15T15:00:12Z;Python Full Course for free;Bro Code
B343jnCWD58;UCUQK33Jm7mRzW343chlkhDg;2023-03-01T23:00:05Z;E assim que faco antes de pegar minha Python #shorts;André Poloni
wuRJDHs-x94;UCFuIUoyHB12qpYa8Jpxoxow;2019-08-22T14:00:09Z;Criamos um Utilitario com PYTHON! (finalizamos nosso mini-projeto) // Mao no Codigo #18;Código Fonte TV
hc4I1COj5Go;UCQR7hvIxWrtkCw5TZdufjlg;2022-09-19T21:00:18Z;APRENDER PYTHON - Tudo o que precisa saber, VALE A PENA?;Sharpax
HSotf1Amess;UCAaKeg-BocRqphErdtIUFFw;2022-02-01T02:35:13Z;Dicas para aprender Python - Live de Python #190;Eduardo Mendes
x7X9w_GIm1s;UCsBjURrPoezykLs9EqgamOA;2021-10-25T15:19:28Z;Python in 100 Seconds;Fireship
BlKi9X7XRxQ;UC1_3ege7lhWE5Ps2936IEew;2023-05-02T16:00:05Z;ARK Survival Evolved Ep.6 | BAD Bugs! The Sinomacrops!;Python
hdDHg1p3YVc;UCrWvhVmt0Qac3HgsjQK62FQ;2017-06-05T14:00:05Z;Curso Python #06 - Tipos Primitivos e Saida de Dados;Curso em Vídeo
C7Uvr61bmoU;UC7ThoLd1glD_04jWCdEl_ig;2021-10-28T22:15:00Z;VALE A PENA APRENDER PYTHON EM 2022 E FAZER UM CURSO?;Código CEO
-yXHisxe-VM;UCafFexaRoRylOKdzGBU6Pgg;2023-05-03T19:40:00Z;Logo da Netflix com Python | #shorts;Hashtag Programação
giZx0zVUcew;UC8wZnXYK_CGKlBcZp-GxYPA;2023-05-04T12:11:44Z;Automatically Install Dependencies From Python Code;NeuralNine
KG2UTmcVBQI;UCAaKeg-BocRqphErdtIUFFw;2023-04-25T15:53:37Z;Live de Python especial de aniversario: 6 anos de projeto;Eduardo Mendes
ElRd0cbXIv4;UCrWvhVmt0Qac3HgsjQK62FQ;2017-05-05T14:01:21Z;Curso Python #05 - Instalando o PyCharm e o QPython3;Curso em Vídeo
Ktl5dAeCHWo;UCafFexaRoRylOKdzGBU6Pgg;2022-02-26T20:00:08Z;5 Dicas Rapidas e Praticas de Python;Hashtag Programação
UM9_EKG7r28;UCafFexaRoRylOKdzGBU6Pgg;2023-04-30T20:00:04Z;Trolando seu amigo com Python | #shorts;Hashtag Programação
BW9Va5syNC0;UCafFexaRoRylOKdzGBU6Pgg;2022-01-15T20:00:05Z;Aplicacoes de Python, Instalacao e Logica de Programacao - Curso de Python - Aula 1;Hashtag Programação
b093aqAZiPU;UCfJT_eYDTmDE-ovKaxVE1ig;2021-03-25T10:00:08Z;Python for Beginners Tutorial;Kevin Stratvert
Y8Tko2YC5hA;UCWv7vMbMWH4-V0ZXdmDpPBA;2018-10-23T03:06:02Z;What is Python? Why Python is So Popular?;Programming with Mosh
t8pPdKYpowI;UCdngmbVKX1Tgre699-XLlUA;2021-03-05T14:10:17Z;Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE];TechWorld with Nana
_j-4fOzHWPY;UCEpElAe8oxMSwIL0kJ7JrHg;2023-05-03T19:39:47Z;Tate Gets ATTACKED By A PYTHON.;SiinMotivation
mRMmlo_Uqcs;UC9x0AN7BWHpCDHSm9NiJFJQ;2021-08-14T17:22:45Z;you need to learn Python RIGHT NOW!! // EP 1;NetworkChuck
OaeHnwnlDqw;UCDPk9MG2RexnOMGTD-YnSnA;2021-04-16T11:59:48Z;Feeding a Reticulated Python | Secrets of the Zoo: Down Under;Nat Geo WILD
EGannsIYzrw;UChxFSdJCYcIM5RKZYy3Bvnw;2023-04-21T21:42:59Z;Joe Rogan : ENORMOUS Pythons INVADES Mans Home #joerogan #python;TheRoganWisdom
tEn5BjRY8Uw;UCteRPiisgIoHtMgqHegpWAQ;2023-01-27T15:05:00Z;How to Learn Python FAST with ChatGPT?;Sundas Khalid
eWRfhZUzrAc;UC8butISFwT-Wl7EV0hUK0BQ;2022-08-09T12:54:23Z;Python for Beginners - Full Course [Programming Tutorial];freeCodeCamp.org
8DvywoWv6fI;UC8butISFwT-Wl7EV0hUK0BQ;2019-05-02T12:05:54Z;Python for Everybody - Full University Python Course;freeCodeCamp.org
qecsnAXtms4;UC4JX40jDee_tINbkjycV4Sg;2023-03-13T14:00:35Z;The Truth About Learning Python in 2023;Tech With Tim
QPVwAPEJzW8;UCxmpUZtj2j93UuFALWE1q4w;2021-08-18T13:00:22Z;BIT BY A 20 FOOT PYTHON;JayPrehistoricPets
0MhVkKHYUAY;UCKaYxkHrmsQePZFpzF9b7sQ;2022-07-31T12:57:40Z;New Python Coders Be Like...;Mr. P Solver
ZFPqYyd0Hh8;UCMn28O1sQGochG94HdlthbA;2023-04-03T12:00:32Z;El Ecosistema de Herramientas de Python;Fazt Code
LXsdt6RMNfY;UC4MZ7zUHb5eAxU75Dc_nqdQ;2022-12-13T15:53:36Z;Automating My Life with Python: The Ultimate Guide | Code With Me;Tiff In Tech
H09PmP5tsy8;UCdXUwmzmhitTRqtPLazyetg;2023-01-07T17:17:00Z;Making a Game in Python with No Experience;Goodgis
mDKM-JtUhhc;UCznj32AM2r98hZfTxrRo9bQ;2022-07-07T10:07:03Z;The complete guide to Python;Clear Code
JmhgkCk865o;UC4JX40jDee_tINbkjycV4Sg;2023-04-24T13:00:21Z;Python vs Javascript - Which should you learn?;Tech With Tim
F2Mx-u7auUs;UCJIfeSCssxSC_Dhc5s7woww;2022-11-29T01:00:04Z;How to learn Python programming | Guido van Rossum and Lex Fridman;Lex Clips
vEQ8CXFWLZU;UCcJQ96WlEhJ0Ve0SLmU310Q;2022-07-12T12:00:40Z;3 PYTHON AUTOMATION PROJECTS FOR BEGINNERS;Internet Made Coder
B9nFMZIYQl0;UCqrILQNl5Ed9Dz6CGMyvMTQ;2022-09-02T16:00:10Z;Python Tutorial for Beginners - Full Course in 12 Hours (2022);Clever Programmer
VchuKL44s6E;UC4JX40jDee_tINbkjycV4Sg;2020-10-04T15:00:06Z;Python As Fast as Possible - Learn Python in ~75 Minutes;Tech With Tim
9LSa9sEaoEw;UCVbz7l0COUdLupcY4YtYH0w;2023-05-02T07:00:04Z;Bard budet pisat' na C++, Java, Javascript, Python, Reliz Ubuntu 23.04 Lunar Lobster, Linux 6.3;Sergey Nemchinskiy
ITSMDeOgXxw;UCsvqVGtbbyHaMoevxPAq9Fg;2023-02-05T14:30:05Z;Python Full Course 2023 | Learn Python in 12 Hours | Python Tutorial for Beginners | Simplilearn;Simplilearn
qUeud6DvOWI;UCaiL2GDNpLYH6Wokkk1VNcg;2021-11-15T14:32:43Z;25 nooby Python habits you need to ditch;mCoding
nAIziNtExLM;UCOClOcwqAW6B-W57cZx10wQ;2023-03-02T19:15:23Z;Feeding My Giant Burmese Python A Huge Rat!;theblackivory
iNEwkaYmPqY;UCLLw7jmFsvfIVaUFsLs8mlQ;2022-11-25T18:35:54Z;How I use Python as a Data Analyst;Luke Barousse
_6N18g3ewnw;UCjXAQ-cayM4mIZmUZKMFW_w;2022-11-11T11:00:32Z;Aprende a programar! PYTHON en 10 minutos;Programador X
DLn3jOsNRVE;UC4JX40jDee_tINbkjycV4Sg;2021-06-10T15:00:06Z;5 Mini Python Projects - For Beginners;Tech With Tim
th4OBktqK1I;UC4JX40jDee_tINbkjycV4Sg;2022-09-24T13:00:27Z;Learn Python With This ONE Project!;Tech With Tim
9s29LKfEFjQ;UChz9LmLfA1Q2SCx32fYw-Og;2022-06-29T16:00:08Z;How I would learn to code (If I could start over);Jason Goodison
bPrYDTjXfVo;UCuudpdbKmQWq2PPzYgVCWlA;2023-05-02T04:00:19Z;"You&#39;re Missing Out In Python If You Don&#39;t Know THIS";Indently
D_td0SlMKsM;UCpzli-m3OlZ0jBmsoWPKYxQ;2023-01-25T21:08:10Z;16 foot MONSTER python pulled out of the everglades!;Florida's Wildest
YfO28Ihehbk;UC59K-uG2A5ogwIrHw4bmlEg;2019-04-07T02:01:45Z;Python for Beginners | Full Course;Telusko
tYS_Hr9uR48;UCOMRpM5qmuNymhEaDe4Gkyw;2022-06-13T13:19:35Z;El hijo toca | Decoradores de Python;Linkfy
FUPbYtRUs5o;UCYsrnFgMjmOGD3kCvdt-BIw;2023-03-03T07:38:43Z;bhaaliu' python le'laasng'ttaalai - Beginner Python Programming (Python akhekhNk cle'laamy);Baeom Edu - Burmese
GH_o8s9xDKs;UC8ORzy4p0vyZ2Nu5V_-rxKA;2023-05-02T23:09:00Z;Aprende Python y ciencia de datos gratis con IBM;No es Brujería, es Tecnología - brujeriatech
